Max internal event=4
Max clock speed=6
Machine 1 initialized. Clock rate=3
[INTERNAL] SystemTime=1741155911.3687, LogicalClock=1, Info=old_clock=0
[RECEIVE] SystemTime=1741155965.0491, LogicalClock=301, Info=From=2, SenderClock=300, QueueSizeAfter=8, OldLocalClock=299
[RECEIVE] SystemTime=1741155965.3880, LogicalClock=303, Info=From=2, SenderClock=302, QueueSizeAfter=10, OldLocalClock=301
[RECEIVE] SystemTime=1741155965.7276, LogicalClock=304, Info=From=2, SenderClock=303, QueueSizeAfter=10, OldLocalClock=303
[RECEIVE] SystemTime=1741155966.0624, LogicalClock=305, Info=From=3, SenderClock=302, QueueSizeAfter=9, OldLocalClock=304
[RECEIVE] SystemTime=1741155966.4017, LogicalClock=306, Info=From=2, SenderClock=305, QueueSizeAfter=10, OldLocalClock=305
[RECEIVE] SystemTime=1741155966.7369, LogicalClock=307, Info=From=2, SenderClock=306, QueueSizeAfter=11, OldLocalClock=306
[RECEIVE] SystemTime=1741155967.0750, LogicalClock=308, Info=From=2, SenderClock=307, QueueSizeAfter=11, OldLocalClock=307
[RECEIVE] SystemTime=1741155967.4126, LogicalClock=310, Info=From=2, SenderClock=309, QueueSizeAfter=10, OldLocalClock=308
[RECEIVE] SystemTime=1741155967.7507, LogicalClock=312, Info=From=2, SenderClock=311, QueueSizeAfter=10, OldLocalClock=310
[RECEIVE] SystemTime=1741155968.0900, LogicalClock=313, Info=From=3, SenderClock=310, QueueSizeAfter=9, OldLocalClock=312
[RECEIVE] SystemTime=1741155968.4289, LogicalClock=315, Info=From=2, SenderClock=314, QueueSizeAfter=9, OldLocalClock=313
[RECEIVE] SystemTime=1741155968.7685, LogicalClock=316, Info=From=2, SenderClock=315, QueueSizeAfter=10, OldLocalClock=315
[RECEIVE] SystemTime=1741155969.1031, LogicalClock=317, Info=From=3, SenderClock=311, QueueSizeAfter=10, OldLocalClock=316
[RECEIVE] SystemTime=1741155969.4428, LogicalClock=319, Info=From=3, SenderClock=318, QueueSizeAfter=11, OldLocalClock=317
[RECEIVE] SystemTime=1741155969.7825, LogicalClock=322, Info=From=2, SenderClock=321, QueueSizeAfter=11, OldLocalClock=319
[RECEIVE] SystemTime=1741155970.1206, LogicalClock=323, Info=From=2, SenderClock=322, QueueSizeAfter=11, OldLocalClock=322
[RECEIVE] SystemTime=1741155970.4604, LogicalClock=324, Info=From=2, SenderClock=323, QueueSizeAfter=10, OldLocalClock=323
[RECEIVE] SystemTime=1741155970.7983, LogicalClock=326, Info=From=2, SenderClock=325, QueueSizeAfter=10, OldLocalClock=324
[RECEIVE] SystemTime=1741155971.1330, LogicalClock=330, Info=From=2, SenderClock=329, QueueSizeAfter=10, OldLocalClock=326
