Machine 2 initialized. Clock rate=2
[RECEIVE] SystemTime=1740951040.7881, LogicalClock=263, Info=From=1, SenderClock=262, QueueSizeAfter=9, OldLocalClock=262
[RECEIVE] SystemTime=1740951041.2904, LogicalClock=265, Info=From=1, SenderClock=264, QueueSizeAfter=8, OldLocalClock=263
[RECEIVE] SystemTime=1740951041.7958, LogicalClock=266, Info=From=3, SenderClock=263, QueueSizeAfter=9, OldLocalClock=265
[RECEIVE] SystemTime=1740951042.3008, LogicalClock=267, Info=From=3, SenderClock=264, QueueSizeAfter=8, OldLocalClock=266
[RECEIVE] SystemTime=1740951042.8049, LogicalClock=268, Info=From=3, SenderClock=265, QueueSizeAfter=7, OldLocalClock=267
[RECEIVE] SystemTime=1740951043.3108, LogicalClock=270, Info=From=1, SenderClock=269, QueueSizeAfter=6, OldLocalClock=268
[RECEIVE] SystemTime=1740951043.8124, LogicalClock=274, Info=From=1, SenderClock=273, QueueSizeAfter=6, OldLocalClock=270
[RECEIVE] SystemTime=1740951044.3182, LogicalClock=275, Info=From=1, SenderClock=274, QueueSizeAfter=5, OldLocalClock=274
[RECEIVE] SystemTime=1740951044.8255, LogicalClock=282, Info=From=1, SenderClock=281, QueueSizeAfter=5, OldLocalClock=275
[RECEIVE] SystemTime=1740951045.3314, LogicalClock=283, Info=From=1, SenderClock=282, QueueSizeAfter=5, OldLocalClock=282
[RECEIVE] SystemTime=1740951045.8342, LogicalClock=289, Info=From=1, SenderClock=288, QueueSizeAfter=4, OldLocalClock=283
[RECEIVE] SystemTime=1740951046.3402, LogicalClock=290, Info=From=3, SenderClock=287, QueueSizeAfter=4, OldLocalClock=289
[RECEIVE] SystemTime=1740951046.8416, LogicalClock=297, Info=From=3, SenderClock=296, QueueSizeAfter=4, OldLocalClock=290
[RECEIVE] SystemTime=1740951047.3480, LogicalClock=307, Info=From=1, SenderClock=306, QueueSizeAfter=5, OldLocalClock=297
[RECEIVE] SystemTime=1740951047.8494, LogicalClock=310, Info=From=1, SenderClock=309, QueueSizeAfter=5, OldLocalClock=307
[RECEIVE] SystemTime=1740951048.3546, LogicalClock=315, Info=From=1, SenderClock=314, QueueSizeAfter=4, OldLocalClock=310
[RECEIVE] SystemTime=1740951048.8617, LogicalClock=319, Info=From=1, SenderClock=318, QueueSizeAfter=4, OldLocalClock=315
[RECEIVE] SystemTime=1740951049.3631, LogicalClock=320, Info=From=1, SenderClock=319, QueueSizeAfter=5, OldLocalClock=319
[RECEIVE] SystemTime=1740951049.8654, LogicalClock=322, Info=From=1, SenderClock=321, QueueSizeAfter=5, OldLocalClock=320
[RECEIVE] SystemTime=1740951050.3697, LogicalClock=325, Info=From=1, SenderClock=324, QueueSizeAfter=5, OldLocalClock=322
[RECEIVE] SystemTime=1740951050.8735, LogicalClock=327, Info=From=3, SenderClock=326, QueueSizeAfter=5, OldLocalClock=325
[RECEIVE] SystemTime=1740951051.3796, LogicalClock=332, Info=From=1, SenderClock=331, QueueSizeAfter=5, OldLocalClock=327
[RECEIVE] SystemTime=1740951051.8820, LogicalClock=334, Info=From=1, SenderClock=333, QueueSizeAfter=5, OldLocalClock=332
